year,school,Overall_W,Overall_SRS,made_it
1995,Dayton,7,-6.56,0
1995,Delaware State,7,-20.22,0
1995,Delaware,12,-4.04,0
1995,DePaul,17,14.05,0
1995,Detroit Mercy,13,-0.64,0
1995,Drake,12,-1.15,0
1995,Drexel,22,5.68,1
1995,Duke,13,15.95,0
1995,Duquesne,10,0.79,0
1995,East Carolina,18,-1.96,0
1995,East Tennessee State,14,-5.98,0
1995,Eastern Illinois,16,-9.12,0
1995,Eastern Kentucky,9,-10.82,0
1995,Eastern Michigan,20,5.16,0
1995,Eastern Washington,6,-7.81,0
1995,Evansville,18,13.41,0
1995,Fairfield,13,-3.35,0
1995,Fairleigh Dickinson,16,-9.32,0
1995,Florida A&M,5,-24.54,0
1995,Florida Atlantic,9,-15.06,0
1995,Florida International,11,-10.51,1
1995,Florida State,12,13.01,0
1995,Florida,17,15.34,1
1995,Fordham,11,-10.71,0
1995,Fresno State,13,2.48,0
1995,Furman,10,-8.57,0
1995,George Mason,7,-12.96,0
1995,George Washington,18,6.79,0
1995,Georgetown,21,11.34,1
1995,Georgia Southern,8,-15.3,0
1995,Georgia State,11,-12.81,0
1995,Georgia Tech,18,14.91,0
1995,Georgia,18,14.21,0
1995,Gonzaga,21,8.57,1
1995,Grambling,11,-19.69,0
1995,Green Bay,22,4.78,1
1995,Hartford,11,-5.78,0
1995,Harvard,6,-14.5,0
1995,Hawaii,16,8.19,0
1995,Hofstra,10,-8.47,0
1995,Holy Cross,15,-8.1,0
1995,Houston,9,-5.8,0
1995,Howard,9,-18.36,0
1995,Idaho State,18,4.57,0
1995,Idaho,12,-1.12,0
1995,Illinois-Chicago,18,1.65,0
1995,Illinois State,20,4.03,0
1995,Illinois,19,11.95,1
1995,Indiana State,7,-4.85,0
1995,Indiana,19,14.85,1
1995,Iona,10,-6.59,0
1995,Iowa State,23,16.57,1
1995,Iowa,21,16.02,0
1995,Jackson State,12,-9.14,0
1995,Jacksonville,18,-0.31,0
1995,James Madison,16,-0.34,0
1995,Kansas State,12,4.14,0
1995,Kansas,25,22.16,1
1995,Kent State,8,-6.81,0
1995,Kentucky,28,28.28,1
1995,La Salle,13,-0.21,0
1995,Lafayette,2,-27.88,0
1995,Lamar,11,-11.26,0
1995,Lehigh,11,-13.13,0
1995,Liberty,12,-7.71,0
1995,Long Beach State,20,4.84,1
1995,Long Island University,11,-18.03,0
1995,Louisiana,7,-8.1,0
1995,Louisiana-Monroe,14,-5.38,0
1995,Louisiana State,12,5.97,0
1995,Louisiana Tech,14,-5.05,0
1995,Louisville,19,11.6,1
1995,Loyola (IL),5,-12.05,0
1995,Loyola Marymount,13,-1.09,0
1995,Loyola (MD),9,-9.63,0
1995,Maine,11,-9.45,0
1995,Manhattan,26,9.32,1
1995,Marist,17,-5.1,0
1995,Marquette,21,11.96,0
1995,Marshall,18,-0.73,0
1995,Maryland-Baltimore County,13,-9.19,0
1995,Maryland-Eastern Shore,13,-15.96,0
1995,Maryland,26,22.88,1
1995,Massachusetts,29,23.15,1
1995,McNeese State,11,-10.27,0
1995,Memphis,24,14.37,1
1995,Mercer,15,-6.84,0
1995,Miami (FL),15,2.09,0
1995,Miami (OH),23,10.06,1
1995,Michigan State,22,17.6,1
1995,Michigan,17,9.77,1
1995,Middle Tennessee,12,-13.62,0
1995,Milwaukee,3,-16.97,0
1995,Minnesota,19,13.88,1
1995,Mississippi State,22,17.33,1
1995,Mississippi Valley State,17,-11,0
1995,Mississippi,8,2.17,0
1995,Missouri-Kansas City,7,-11.21,0
1995,Missouri State,16,4.6,0
1995,Missouri,20,11.97,1
1995,Monmouth,13,-5.77,0
1995,Montana State,21,11.82,0
1995,Montana,21,7.36,0
1995,Morehead State,15,-5.73,0
1995,Morgan State,5,-23.22,0
1995,Mount St. Mary's,17,-6.95,1
1995,Murray State,21,-2.43,1
1995,Navy,20,-3.72,0
1995,Nebraska,18,11.21,0
1995,Nevada-Las Vegas,12,0.72,0
1995,Nevada,18,5.54,0
1995,New Hampshire,19,-2.18,0
1995,New Mexico State,25,10.29,0
1995,New Mexico,15,6.43,0
1995,New Orleans,20,0.81,0
1995,Niagara,5,-13.32,0
1995,Nicholls State,24,3.32,1
1995,North Carolina-Asheville,11,-8.94,0
1995,North Carolina A&T,15,-14.04,1
1995,North Carolina-Greensboro,23,3.13,0
1995,North Carolina State,12,12.87,0
1995,North Carolina-Wilmington,16,-0.55,0
1995,North Carolina,28,23.45,1
1995,North Texas,14,-8.43,0
1995,Northeastern Illinois,4,-19.66,0
1995,Northeastern,18,-0.87,0
1995,Northern Arizona,8,-5.88,0
1995,Northern Illinois,19,0.12,0
1995,Northern Iowa,8,-5.83,0
1995,Northwestern State,13,-11.91,0
1995,Northwestern,5,-12.61,0
1995,Notre Dame,15,2.81,0
1995,Ohio State,6,-1.71,0
1995,Ohio,24,11.16,0
1995,Oklahoma State,27,21.72,1
1995,Oklahoma,23,15.21,1
1995,Old Dominion,21,4.08,1
1995,Oral Roberts,10,-11.6,0
1995,Oregon State,9,6.04,0
1995,Oregon,19,14.69,1
1995,Pacific,14,3.27,0
1995,Penn State,21,11.85,0
1995,Pennsylvania,22,8.62,1
1995,Pepperdine,8,-4.62,0
1995,Pittsburgh,10,5.55,0
1995,Portland,21,3.37,0
1995,Prairie View,6,-31.28,0
1995,Princeton,16,-1.66,0
1995,Providence,17,8.65,0
1995,Purdue,25,13.37,1
1995,Radford,16,-10.77,0
1995,Rhode Island,7,1.48,0
1995,Rice,15,0.73,0
1995,Richmond,8,-7.05,0
1995,Rider,18,-1.34,0
1995,Robert Morris,4,-19.55,0
1995,Rutgers,13,6.24,0
1995,Sacramento State,6,-16.39,0
1995,Saint Francis (PA),12,-10.75,0
1995,Saint Joseph's,17,9.69,0
1995,Saint Louis,23,17.23,1
1995,Saint Mary's (CA),18,4.42,0
1995,Saint Peter's,19,-1.79,1
1995,Sam Houston State,7,-15.19,0
1995,Samford,16,-7.02,0
1995,San Diego State,11,-1.54,0
1995,San Diego,11,-2.25,0
1995,San Francisco,10,-4.69,0
1995,San Jose State,4,-7.57,0
1995,Santa Clara,21,9.91,1
1995,Seton Hall,16,8.47,0
1995,Siena,8,-8.73,0
1995,South Alabama,9,-10.73,0
1995,South Carolina State,15,-15.09,0
1995,South Carolina,10,2.66,0
1995,South Florida,18,7.96,0
1995,Southeast Missouri State,13,-10.14,0
1995,Southeastern Louisiana,12,-10.06,0
1995,Southern California,7,4,0
1995,Southern Illinois,23,8.02,1
1995,Southern Methodist,7,-7.26,0
1995,Southern Mississippi,17,8.3,0
1995,Southern Utah,17,0.5,0
1995,Southern,13,-11.8,0
1995,St. Bonaventure,18,9.36,0
1995,St. Francis (NY),9,-18.78,0
1995,St. John's (NY),14,7.99,0
1995,Stanford,20,13.15,1
1995,Stephen F. Austin,14,-7.5,0
1995,Stetson,15,-3.93,0
1995,Syracuse,20,15.1,1
1995,Temple,19,12.15,1
1995,Tennessee-Martin,7,-17.57,0
1995,Tennessee State,17,-6.11,0
1995,Tennessee Tech,13,-11.58,0
1995,Tennessee,11,5.46,0
1995,Texas A&M,14,-1.71,0
1995,Texas-Arlington,10,-13.09,0
1995,Texas Christian,16,0.97,0
1995,Texas-El Paso,20,9.67,0
1995,Texas-Rio Grande Valley,14,-2.09,0
1995,Texas-San Antonio,15,-7.88,0
1995,Texas Southern,22,0.69,1
1995,Texas State,12,-13.45,0
1995,Texas Tech,20,12.01,0
1995,Texas,23,15.81,1
1995,Toledo,16,2.8,0
1995,Towson,12,-8.69,0
1995,Troy,11,-12.31,0
1995,Tulane,23,9.81,1
1995,Tulsa,24,12.38,1
1995,UCLA,31,23.74,1
1995,Utah State,21,9.82,0
1995,Utah,28,16.4,1
1995,Valparaiso,20,-1.76,0
1995,Vanderbilt,13,10.89,0
1995,Vermont,14,-5.63,0
1995,Villanova,25,16.1,1
1995,Virginia Commonwealth,16,3.61,0
1995,VMI,10,-15.39,0
1995,Virginia Tech,25,13.6,0
1995,Virginia,25,20.56,1
1995,Wagner,10,-14.76,0
1995,Wake Forest,26,19.15,1
1995,Washington State,18,13.17,0
1995,Washington,9,6.53,0
1995,Weber State,21,8.47,1
1995,West Virginia,13,4.52,0
1995,Western Carolina,14,-8.53,0
1995,Western Illinois,20,-4.47,0
1995,Western Kentucky,27,7.94,1
1995,Western Michigan,14,0.79,0
1995,Wichita State,13,-0.09,0
1995,William & Mary,8,-7.8,0
1995,Winthrop,7,-15.31,0
1995,Wisconsin,13,8.27,0
1995,Wright State,13,-4.49,0
1995,Wyoming,13,6.89,0
1995,Xavier,23,10.45,1
1995,Yale,9,-15.93,0
1995,Youngstown State,18,-8.74,0
1996,Air Force,5,-5.63,0
1996,Akron,3,-11.17,0
1996,Alabama-Birmingham,16,3.66,0
1996,Alabama State,9,-23.56,0
1996,Alabama,19,7,0
1996,Alcorn State,10,-18.2,0
1996,American,12,-2.04,0
1996,Appalachian State,8,-14.16,0
1996,Arizona State,11,1.56,0
1996,Arizona,26,18.14,1
1996,Little Rock,23,6.29,0
1996,Arkansas State,9,-6.56,0
1996,Arkansas,20,11.67,1
1996,Army,7,-21.68,0
1996,Auburn,19,6.08,0
1996,Austin Peay,19,-0.41,1
1996,Ball State,16,2.97,0
1996,Baylor,9,-2.69,0
1996,Bethune-Cookman,12,-17.8,0
1996,Boise State,15,-3.05,0
1996,Boston College,19,16.93,1
1996,Boston University,18,-1.05,0
1996,Bowling Green State,14,3.01,0
1996,Bradley,22,9.71,1
1996,Brigham Young,15,7.89,0
1996,Brown,10,-10.95,0
1996,Bucknell,17,-5.71,0
1996,Buffalo,13,-11.68,0
1996,Butler,19,1.56,0
1996,Cal Poly,16,-7.45,0
1996,Cal State Fullerton,6,-8.67,0
1996,Cal State Northridge,7,-14.48,0
1996,UC-Irvine,15,0.63,0
1996,UC-Santa Barbara,11,-1.99,0
1996,University of California,17,11.9,1
1996,Campbell,17,-7.05,0
1996,Canisius,19,1.13,1
1996,Centenary (LA),11,-10.49,0
1996,Central Connecticut State,13,-12.95,0
1996,Central Florida,11,-10,1
1996,Central Michigan,6,-3.57,0
1996,Charleston Southern,15,-7.77,0
1996,Charlotte,14,7.44,0
1996,Chattanooga,15,-1.98,0
1996,Chicago State,2,-29.06,0
1996,Cincinnati,28,22.11,1
1996,Citadel,10,-16.89,0
1996,Clemson,18,13.18,1
1996,Cleveland State,5,-14.77,0
1996,Coastal Carolina,5,-19.52,0
1996,Colgate,15,-4.68,1
1996,College of Charleston,25,3.86,0
1996,Colorado State,18,7.51,0
1996,Colorado,9,1.31,0
1996,Columbia,7,-15.71,0
1996,Connecticut,32,26.05,1
1996,Coppin State,19,-7.05,0
1996,Cornell,10,-12.02,0
1996,Creighton,14,0.95,0
1996,Dartmouth,16,-8.8,0
1996,Davidson,25,9.47,0
1996,Dayton,15,-0.16,0
1996,Delaware State,11,-23.95,0
1996,Delaware,15,0.26,0
1996,DePaul,11,6.2,0
1996,Detroit Mercy,18,2.67,0
1996,Drake,12,-0.74,0
1996,Drexel,27,10.97,1
1996,Duke,18,16.06,1
1996,Duquesne,9,-0.06,0
1996,East Carolina,17,-2.82,0
1996,East Tennessee State,7,-12.63,0
1996,Eastern Illinois,13,-13.67,0
1996,Eastern Kentucky,13,-8.03,0
1996,Eastern Michigan,25,11.54,1
1996,Eastern Washington,3,-15.51,0
1996,Evansville,13,3.62,0
1996,Fairfield,20,-1.62,0
1996,Fairleigh Dickinson,7,-14.27,0
1996,Florida A&M,8,-24.46,0
1996,Florida Atlantic,9,-7.28,0
1996,Florida International,13,-14.34,0
1996,Florida State,13,10.94,0
1996,Florida,12,7.65,0
1996,Fordham,4,-9.65,0
1996,Fresno State,22,7.58,0
1996,Furman,10,-11.34,0
1996,George Mason,11,-5.07,0
1996,George Washington,21,8.99,1
1996,Georgetown,29,22.63,1
1996,Georgia Southern,3,-20.66,0
1996,Georgia State,10,-10.82,0
1996,Georgia Tech,24,16.96,1
1996,Georgia,21,19.3,1
1996,Gonzaga,21,5.81,0
1996,Grambling,12,-12.39,0
1996,Green Bay,25,8.05,1
1996,Hampton,9,-11.18,0
1996,Hartford,6,-12.44,0
1996,Harvard,15,-2.98,0
1996,Hawaii,10,4.66,0
1996,Hofstra,9,-13.73,0
1996,Holy Cross,16,-9.27,0
1996,Houston,17,3.57,0
1996,Howard,7,-18.27,0
1996,Idaho State,11,-9.41,0
1996,Idaho,12,-4.27,0
1996,Illinois-Chicago,10,-6.83,0
1996,Illinois State,22,5.53,0
1996,Illinois,18,13.96,0
1996,Indiana State,10,-5.79,0
1996,Indiana,19,17.61,1
1996,Iona,21,2.27,0
1996,Iowa State,24,10.9,1
1996,Iowa,23,18.65,1
1996,Jackson State,16,-8.68,0
1996,Jacksonville State,10,-10.79,0
1996,Jacksonville,15,-0.35,0
1996,James Madison,10,-5.6,0
1996,Kansas State,17,7.75,1
1996,Kansas,29,21.39,1
1996,Kent State,14,0.67,0
1996,Kentucky,34,32.14,1
1996,La Salle,6,-1.74,0
1996,Lafayette,7,-12.38,0
1996,Lamar,12,-2.78,0
1996,Lehigh,4,-18.82,0
1996,Liberty,17,-5.69,0
1996,Long Beach State,17,4.16,0
1996,Long Island University,9,-17.63,0
1996,Louisiana,16,1.29,0
1996,Louisiana-Monroe,16,-2.52,1
1996,Louisiana State,12,2.5,0
1996,Louisiana Tech,11,-4.05,0
1996,Louisville,22,15.18,1
1996,Loyola (IL),8,-6.61,0
1996,Loyola Marymount,18,-1,0
1996,Loyola (MD),12,-4.28,0
1996,Maine,15,-4.2,0
1996,Manhattan,17,4.03,0
1996,Marist,22,-1.02,0
1996,Marquette,23,14.45,1
1996,Marshall,17,1.97,0
1996,Maryland-Baltimore County,5,-17.13,0
1996,Maryland-Eastern Shore,11,-20.25,0
1996,Maryland,17,15,1
1996,Massachusetts,35,21.38,1
1996,McNeese State,15,-2.8,0
1996,Memphis,22,14.35,1
1996,Mercer,15,-10.14,0
1996,Miami (FL),15,7.77,0
1996,Miami (OH),21,10.6,0
1996,Michigan State,16,6.78,0
1996,Michigan,21,15.02,1
1996,Middle Tennessee,15,-4.98,0
1996,Milwaukee,9,-6.36,0
1996,Minnesota,19,8.67,0
1996,Mississippi State,26,16.2,1
1996,Mississippi Valley State,22,-5.56,1
1996,Mississippi,12,5.9,0
1996,Missouri-Kansas City,12,-9.6,0
1996,Missouri State,16,4.35,0
1996,Missouri,18,7.16,0
1996,Monmouth,20,-1.89,1
1996,Montana State,21,7.48,1
1996,Montana,20,2.71,0
1996,Morehead State,7,-15.47,0
1996,Morgan State,7,-19.34,0
1996,Mount St. Mary's,21,0.83,0
1996,Murray State,19,1.18,0
1996,Navy,15,-10.1,0
1996,Nebraska,21,10.29,0
1996,Nevada-Las Vegas,10,-2.34,0
1996,Nevada,16,0.45,0
1996,New Hampshire,6,-12.3,0
1996,New Mexico State,11,-3.12,0
1996,New Mexico,28,11.55,1
1996,New Orleans,21,5.97,1
1996,Niagara,13,-8.09,0
1996,Nicholls State,5,-15.73,0
1996,North Carolina-Asheville,18,-8.55,0
1996,North Carolina A&T,10,-21.04,0
1996,North Carolina-Greensboro,20,-1.94,1
1996,North Carolina State,15,14.08,0
1996,North Carolina-Wilmington,13,-0.03,0
1996,North Carolina,21,18.02,1
1996,North Texas,15,-4.92,0
1996,Northeastern Illinois,14,-11.31,0
1996,Northeastern,4,-15.71,0
1996,Northern Arizona,6,-13.08,0
1996,Northern Illinois,20,4.37,1
1996,Northern Iowa,14,2.69,0
1996,Northwestern State,5,-13.78,0
1996,Northwestern,7,-3.72,0
1996,Notre Dame,9,5.99,0
1996,Ohio State,10,3.2,0
1996,Ohio,16,4.2,0
1996,Oklahoma State,17,12.08,0
1996,Oklahoma,17,12.8,1
1996,Old Dominion,18,-0.27,0
1996,Oral Roberts,18,-0.28,0
1996,Oregon State,4,-2.33,0
1996,Oregon,16,7.56,0
1996,Pacific,15,3.99,0
1996,Penn State,21,17.08,1
1996,Pennsylvania,17,0.69,0
1996,Pepperdine,10,-6.57,0
1996,Pittsburgh,10,10.97,0
1996,Portland,19,1.75,1
1996,Prairie View,4,-31.93,0
1996,Princeton,22,2.53,1
1996,Providence,18,12.84,0
1996,Purdue,26,17.24,1
1996,Radford,14,-7.36,0
1996,Rhode Island,20,8.85,0
1996,Rice,14,0.76,0
1996,Richmond,8,-5.7,0
1996,Rider,19,-0.57,0
1996,Robert Morris,5,-17.71,0
1996,Rutgers,9,5.31,0
1996,Sacramento State,7,-14.27,0
1996,Saint Francis (PA),13,-11.62,0
1996,Saint Joseph's,19,7.38,0
1996,Saint Louis,16,4.88,0
1996,Saint Mary's (CA),12,-1.24,0
1996,Saint Peter's,15,0.26,0
1996,Sam Houston State,11,-7.62,0
1996,Samford,16,-6.61,0
1996,San Diego State,15,4.01,0
1996,San Diego,14,-1.53,0
1996,San Francisco,15,0.33,0
1996,San Jose State,13,-3.16,1
1996,Santa Clara,20,8.81,1
1996,Seton Hall,12,7.06,0
1996,Siena,5,-11.34,0
1996,South Alabama,12,-2.91,0
1996,South Carolina State,22,-5.26,1
1996,South Carolina,19,11.01,0
1996,South Florida,12,3.62,0
1996,Southeast Missouri State,8,-12.22,0
1996,Southeastern Louisiana,15,-8.16,0
1996,Southern California,11,2.31,0
1996,Southern Illinois,11,-2.04,0
1996,Southern Methodist,8,-2.38,0
1996,Southern Mississippi,12,3.9,0
1996,Southern Utah,15,-5.01,0
1996,Southern,17,-7.79,0
1996,St. Bonaventure,10,-0.36,0
1996,St. Francis (NY),9,-16.79,0
1996,St. John's (NY),11,7.51,0
1996,Stanford,20,14.85,1
1996,Stephen F. Austin,17,-6.41,0
1996,Stetson,10,-11.99,0
1996,Syracuse,29,18.99,1
1996,Temple,20,11.08,1
1996,Tennessee-Martin,13,-8.79,0
1996,Tennessee State,15,-6.66,0
1996,Tennessee Tech,13,-6.47,0
1996,Tennessee,14,8.72,0
1996,Texas A&M,11,-0.68,0
1996,Texas-Arlington,11,-11.08,0
1996,Texas Christian,15,0.1,0
1996,Texas-El Paso,13,3.63,0
1996,Texas-Rio Grande Valley,9,-5.52,0
1996,Texas-San Antonio,14,-6.03,0
1996,Texas Southern,11,-15.69,0
1996,Texas State,11,-11.43,0
1996,Texas Tech,30,14.86,1
1996,Texas,21,12.44,1
1996,Toledo,18,2.57,0
1996,Towson,16,-2.15,0
1996,Troy,11,-19.17,0
1996,Tulane,22,11.43,0
1996,Tulsa,22,12.92,1
1996,UCLA,23,14.15,1
1996,Utah State,18,0.66,0
1996,Utah,27,18.52,1
1996,Valparaiso,21,-5.13,1
1996,Vanderbilt,18,7.95,0
1996,Vermont,12,-9.96,0
1996,Villanova,26,20.34,1
1996,Virginia Commonwealth,24,7.42,1
1996,VMI,18,-3.39,0
1996,Virginia Tech,23,11.52,1
1996,Virginia,12,12.31,0
1996,Wagner,10,-9.83,0
1996,Wake Forest,26,18.26,1
1996,Washington State,17,10.14,0
1996,Washington,16,7.81,0
1996,Weber State,20,4.15,0
1996,West Virginia,12,10.95,0
1996,Western Carolina,17,-4.85,1
1996,Western Illinois,17,-12.38,0
1996,Western Kentucky,13,2.89,0
1996,Western Michigan,15,2.88,0
1996,Wichita State,8,-3.02,0
1996,William & Mary,10,-2.86,0
1996,Winthrop,7,-17.86,0
1996,Wisconsin,17,7.89,0
1996,Wofford,4,-22.22,0
1996,Wright State,14,-1.72,0
1996,Wyoming,14,2.7,0
1996,Xavier,13,3.24,0
1996,Yale,8,-16.11,0
1996,Youngstown State,12,-12.18,0
1997,Air Force,7,-4.94,0
1997,Akron,8,-1.18,0
1997,Alabama-Birmingham,18,3.06,0
1997,Alabama State,8,-21.8,0
1997,Alabama,17,9.67,0
1997,Alcorn State,11,-15.54,0
1997,American,11,-5.18,0
1997,Appalachian State,14,-5.91,0
1997,Arizona State,10,2.08,0
1997,Arizona,25,21.6,1
1997,Little Rock,18,-1.57,0
1997,Arkansas State,15,-5.48,0
1997,Arkansas,18,14.68,0
1997,Army,10,-16.77,0
1997,Auburn,16,5.36,0
1997,Austin Peay,17,-5,0
1997,Ball State,16,1.79,0
1997,Baylor,18,4.39,0
1997,Bethune-Cookman,12,-12.05,0
1997,Boise State,14,3.08,0
1997,Boston College,22,11.94,1
1997,Boston University,25,2.53,1
1997,Bowling Green State,22,8.49,0
1997,Bradley,17,8.02,0
1997,Brigham Young,1,-13.32,0
1997,Brown,4,-14.48,0
1997,Bucknell,18,-4.18,0
1997,Buffalo,17,-4.1,0
1997,Butler,23,7.62,1
1997,Cal Poly,14,-0.69,0
1997,Cal State Fullerton,13,-3.41,0
1997,Cal State Northridge,14,-1.83,0
1997,UC-Irvine,1,-20.14,0
1997,UC-Santa Barbara,12,-5.02,0
1997,University of California,23,17.25,1
1997,Campbell,11,-14.7,0
1997,Canisius,17,4,0
1997,Centenary (LA),9,-18.09,0
1997,Central Connecticut State,8,-12.02,0
1997,Central Florida,7,-18.26,0
1997,Central Michigan,7,-10.21,0
1997,Charleston Southern,17,-6.93,1
1997,Charlotte,22,10.77,1
1997,Chattanooga,24,2.6,1
1997,Chicago State,4,-19.07,0
1997,Cincinnati,26,20.64,1
1997,Citadel,13,-8.79,0
1997,Clemson,23,17.41,1
1997,Cleveland State,9,-6.71,0
1997,Coastal Carolina,11,-12.3,0
1997,Colgate,12,-6.92,0
1997,College of Charleston,29,5.85,1
1997,Colorado State,20,5.09,0
1997,Colorado,22,9.74,1
1997,Columbia,6,-13.76,0
1997,Connecticut,18,13.02,0
1997,Coppin State,22,-1.22,1
1997,Cornell,15,-7.81,0
1997,Creighton,15,3.91,0
1997,Dartmouth,18,-0.44,0
1997,Davidson,18,-0.01,0
1997,Dayton,13,3.54,0
1997,Delaware State,7,-18.46,0
1997,Delaware,15,-0.13,0
1997,DePaul,3,-5.85,0
1997,Detroit Mercy,16,1.9,0
1997,Drake,2,-6.17,0
1997,Drexel,22,3.69,0
1997,Duke,24,22.72,1
1997,Duquesne,9,2.04,0
1997,East Carolina,17,2.15,0
1997,East Tennessee State,7,-19.41,0
1997,Eastern Illinois,12,-12.5,0
1997,Eastern Kentucky,8,-16.41,0
1997,Eastern Michigan,22,4.14,0
1997,Eastern Washington,7,-11.25,0
1997,Evansville,17,2.8,0
1997,Fairfield,11,-5.11,1
1997,Fairleigh Dickinson,18,-7.03,0
1997,Florida A&M,8,-17.91,0
1997,Florida Atlantic,16,-7.43,0
1997,Florida International,16,-4.64,0
1997,Florida State,20,16.36,0
1997,Florida,13,5.46,0
1997,Fordham,6,-5.82,0
1997,Fresno State,20,6.87,0
1997,Furman,10,-12.81,0
1997,George Mason,10,-5.52,0
1997,George Washington,15,10.36,0
1997,Georgetown,20,10.88,1
1997,Georgia Southern,10,-20.6,0
1997,Georgia State,10,-15.85,0
1997,Georgia Tech,9,9.36,0
1997,Georgia,24,13,1
1997,Gonzaga,15,0.19,0
1997,Grambling,10,-18.07,0
1997,Green Bay,14,0.88,0
1997,Hampton,8,-14.96,0
1997,Hartford,17,-2.29,0
1997,Harvard,17,-2.63,0
1997,Hawaii,21,8.74,0
1997,Hofstra,12,-5.45,0
1997,Holy Cross,8,-14.52,0
1997,Houston,11,0.36,0
1997,Howard,7,-17.91,0
1997,Idaho State,14,-5.62,0
1997,Idaho,13,-6.11,0
1997,Illinois-Chicago,15,-1.54,0
1997,Illinois State,24,10.81,1
1997,Illinois,22,15.64,1
1997,Indiana State,12,-3.2,0
1997,Indiana,22,13.95,1
1997,Iona,22,3.55,0
1997,Iowa State,22,13.43,1
1997,Iowa,22,16.84,1
1997,Jackson State,14,-11.49,1
1997,Jacksonville State,10,-15.83,0
1997,Jacksonville,5,-14.03,0
1997,James Madison,16,-0.27,0
1997,Kansas State,10,1.75,0
1997,Kansas,34,26.6,1
1997,Kent State,9,-4,0
1997,Kentucky,35,29.23,1
1997,La Salle,10,2.1,0
1997,Lafayette,11,-15.75,0
1997,Lamar,15,-4.45,0
1997,Lehigh,1,-24.07,0
1997,Liberty,23,-2.85,0
1997,Long Beach State,13,-1.59,0
1997,Long Island University,21,3.76,1
1997,Louisiana,12,-6.04,0
1997,Louisiana-Monroe,14,-7.57,0
1997,Louisiana State,10,3.88,0
1997,Louisiana Tech,15,-0.75,0
1997,Louisville,26,12.01,1
1997,Loyola (IL),12,-4.73,0
1997,Loyola Marymount,7,-6.52,0
1997,Loyola (MD),13,-3.22,0
1997,Maine,11,-7.57,0
1997,Manhattan,9,-6.69,0
1997,Marist,6,-16.24,0
1997,Marquette,22,13.44,1
1997,Marshall,20,-2.99,0
1997,Maryland-Baltimore County,5,-17.31,0
1997,Maryland-Eastern Shore,11,-13.03,0
1997,Maryland,21,17.74,1
1997,Massachusetts,19,10.63,1
1997,McNeese State,18,-5.37,0
1997,Memphis,16,7.56,0
1997,Mercer,3,-27.86,0
1997,Miami (FL),16,8.12,0
1997,Miami (OH),21,9,1
1997,Michigan State,17,12.07,0
1997,Michigan,24,16.73,0
1997,Middle Tennessee,19,-4.64,0
1997,Milwaukee,8,-11.06,0
1997,Minnesota,31,23.35,1
1997,Mississippi State,12,1.93,0
1997,Mississippi Valley State,19,-10.55,0
1997,Mississippi,20,11.34,1
1997,Missouri-Kansas City,10,-10.37,0
1997,Missouri State,24,6.55,0
1997,Missouri,16,8.96,0
1997,Monmouth,18,-1,0
1997,Montana State,16,-3.47,0
1997,Montana,21,0.54,1
1997,Morehead State,8,-16.11,0
1997,Morgan State,9,-15.68,0
1997,Mount St. Mary's,14,-6.11,0
1997,Murray State,20,-4.24,1
1997,Navy,20,-3.56,1
